DATE,GEPUCURRENT
2012-06-01,188.002629575546
2012-07-01,158.7596759045031
2012-08-01,122.54055871607285
2012-09-01,151.79485957170706
2012-10-01,158.45343107972545
2012-11-01,173.73435640000645
2012-12-01,168.4441954968954
2013-01-01,167.83067323092848
2013-02-01,125.62874137781293
2013-03-01,141.64764335013393
2013-04-01,134.51374078034053
2013-05-01,106.41387483466683
2013-06-01,120.39106744947016
2013-07-01,107.92328562744083
2013-08-01,118.71590958785124
2013-09-01,132.7315122834553
2013-10-01,157.46771982332535
2013-11-01,95.949518033278
2013-12-01,118.23837289304385
2014-01-01,110.91658191479658
2014-02-01,97.94156740593122
2014-03-01,113.25953317955279
2014-04-01,101.10847754068591
2014-05-01,103.69648877140996
2014-06-01,86.28354781230897
2014-07-01,92.84276082376675
2014-08-01,98.96935087866741
