Open,Close,High,Low,Volume,Date
1917.112,1917.112,1917.112,1917.112,,07/10/17
1913.184,1913.184,1913.184,1913.184,,07/07/17
1909.008,1909.008,1909.008,1909.008,,07/06/17
1920.325,1920.325,1920.325,1920.325,,07/05/17
1918.895,1918.895,1918.895,1918.895,,07/04/17
1920.582,1920.582,1920.582,1920.582,,07/03/17
1916.426,1916.426,1916.426,1916.426,,06/30/17
1919.594,1919.594,1919.594,1919.594,,06/29/17
1931.725,1931.725,1931.725,1931.725,,06/28/17
1917.568,1917.568,1917.568,1917.568,,06/27/17
1927.486,1927.486,1927.486,1927.486,,06/26/17
1925.015,1925.015,1925.015,1925.015,,06/23/17
1921.541,1921.541,1921.541,1921.541,,06/22/17
1919.999,1919.999,1919.999,1919.999,,06/21/17
1922.536,1922.536,1922.536,1922.536,,06/20/17
1936.52,1936.52,1936.52,1936.52,,06/19/17
1923.237,1923.237,1923.237,1923.237,,06/16/17
1916.516,1916.516,1916.516,1916.516,,06/15/17
1930.525,1930.525,1930.525,1930.525,,06/14/17
1928.744,1928.744,1928.744,1928.744,,06/13/17
1918.702,1918.702,1918.702,1918.702,,06/12/17
1922.789,1922.789,1922.789,1922.789,,06/09/17
1924.198,1924.198,1924.198,1924.198,,06/08/17
1927.056,1927.056,1927.056,1927.056,,06/07/17
1926.053,1926.053,1926.053,1926.053,,06/06/17
1931.728,1931.728,1931.728,1931.728,,06/05/17
1935.212,1935.212,1935.212,1935.212,,06/02/17
1923.1,1923.1,1923.1,1923.1,,06/01/17
1911.74,1911.74,1911.74,1911.74,,05/31/17
1909.899,1909.899,1909.899,1909.899,,05/30/17
1911.696,1911.696,1911.696,1911.696,,05/29/17
1912.21,1912.21,1912.21,1912.21,,05/26/17
1914.588,1914.588,1914.588,1914.588,,05/25/17
1907.807,1907.807,1907.807,1907.807,,05/24/17
1906.694,1906.694,1906.694,1906.694,,05/23/17
1904.916,1904.916,1904.916,1904.916,,05/22/17
1894.77,1894.77,1894.77,1894.77,,05/19/17
1880.964,1880.964,1880.964,1880.964,,05/18/17
1882.619,1882.619,1882.619,1882.619,,05/17/17
1906.23,1906.23,1906.23,1906.23,,05/16/17
1901.637,1901.637,1901.637,1901.637,,05/15/17
1892.967,1892.967,1892.967,1892.967,,05/12/17
1891.211,1891.211,1891.211,1891.211,,05/11/17
1895.927,1895.927,1895.927,1895.927,,05/10/17
1893.414,1893.414,1893.414,1893.414,,05/09/17
1897.322,1897.322,1897.322,1897.322,,05/08/17
1896.748,1896.748,1896.748,1896.748,,05/05/17
1886.484,1886.484,1886.484,1886.484,,05/04/17
1883.135,1883.135,1883.135,1883.135,,05/03/17
1886.149,1886.149,1886.149,1886.149,,05/02/17
1882.487,1882.487,1882.487,1882.487,,05/01/17
1878.276,1878.276,1878.276,1878.276,,04/28/17
1881.143,1881.143,1881.143,1881.143,,04/27/17
1882.436,1882.436,1882.436,1882.436,,04/26/17
1882.036,1882.036,1882.036,1882.036,,04/25/17
1871.652,1871.652,1871.652,1871.652,,04/24/17
1842.064,1842.064,1842.064,1842.064,,04/21/17
1846.652,1846.652,1846.652,1846.652,,04/20/17
1835.035,1835.035,1835.035,1835.035,,04/19/17
1837.342,1837.342,1837.342,1837.342,,04/18/17
1846.13,1846.13,1846.13,1846.13,,04/17/17
1832.28,1832.28,1832.28,1832.28,,04/14/17
1833.125,1833.125,1833.125,1833.125,,04/13/17
1842.985,1842.985,1842.985,1842.985,,04/12/17
1847.88,1847.88,1847.88,1847.88,,04/11/17
1846.779,1846.779,1846.779,1846.779,,04/10/17
1845.464,1845.464,1845.464,1845.464,,04/07/17
1846.59,1846.59,1846.59,1846.59,,04/06/17
1845.949,1845.949,1845.949,1845.949,,04/05/17
1850.022,1850.022,1850.022,1850.022,,04/04/17
1848.972,1848.972,1848.972,1848.972,,04/03/17
1853.69,1853.69,1853.69,1853.69,,03/31/17
1859.945,1859.945,1859.945,1859.945,,03/30/17
1856.765,1856.765,1856.765,1856.765,,03/29/17
1858.876,1858.876,1858.876,1858.876,,03/28/17
1845.151,1845.151,1845.151,1845.151,,03/27/17
1845.807,1845.807,1845.807,1845.807,,03/24/17
1844.969,1844.969,1844.969,1844.969,,03/23/17
1842.632,1842.632,1842.632,1842.632,,03/22/17
1846.39,1846.39,1846.39,1846.39,,03/21/17
1860.526,1860.526,1860.526,1860.526,,03/20/17
1863.076,1863.076,1863.076,1863.076,,03/17/17
1864.104,1864.104,1864.104,1864.104,,03/16/17
1854.146,1854.146,1854.146,1854.146,,03/15/17
1842.977,1842.977,1842.977,1842.977,,03/14/17
1850.016,1850.016,1850.016,1850.016,,03/13/17
1845.876,1845.876,1845.876,1845.876,,03/10/17
1835.895,1835.895,1835.895,1835.895,,03/09/17
1834.724,1834.724,1834.724,1834.724,,03/08/17
1840.57,1840.57,1840.57,1840.57,,03/07/17
1845.696,1845.696,1845.696,1845.696,,03/06/17
1848.983,1848.983,1848.983,1848.983,,03/03/17
1848.837,1848.837,1848.837,1848.837,,03/02/17
1856.342,1856.342,1856.342,1856.342,,03/01/17
1838.699,1838.699,1838.699,1838.699,,02/28/17
1841.569,1841.569,1841.569,1841.569,,02/27/17
1840.797,1840.797,1840.797,1840.797,,02/24/17
1845.353,1845.353,1845.353,1845.353,,02/23/17
1842.374,1842.374,1842.374,1842.374,,02/22/17
1843.054,1843.054,1843.054,1843.054,,02/21/17
1836.784,1836.784,1836.784,1836.784,,02/20/17
1836.498,1836.498,1836.498,1836.498,,02/17/17
1836.563,1836.563,1836.563,1836.563,,02/16/17
1833.55,1833.55,1833.55,1833.55,,02/15/17
1823.626,1823.626,1823.626,1823.626,,02/14/17
1823.34,1823.34,1823.34,1823.34,,02/13/17
1814.71,1814.71,1814.71,1814.71,,02/10/17
1807.545,1807.545,1807.545,1807.545,,02/09/17
1802.261,1802.261,1802.261,1802.261,,02/08/17
1797.293,1797.293,1797.293,1797.293,,02/07/17
1798.207,1798.207,1798.207,1798.207,,02/06/17
1805.513,1805.513,1805.513,1805.513,,02/03/17
1795.113,1795.113,1795.113,1795.113,,02/02/17
1793.389,1793.389,1793.389,1793.389,,02/01/17
1792.403,1792.403,1792.403,1792.403,,01/31/17
1792.057,1792.057,1792.057,1792.057,,01/30/17
