"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2020","179.24","176.01","180.25","172.99","","1.84%"
"07/31/2020","176.01","176.84","177.14","173.34","","0.88%"
"07/30/2020","174.48","180.38","180.90","169.58","","-3.27%"
"07/29/2020","180.38","179.37","181.69","178.89","","0.56%"
"07/28/2020","179.37","181.82","183.22","178.59","","-1.35%"
"07/27/2020","181.82","179.15","182.74","176.92","","0.75%"
"07/24/2020","180.46","179.68","182.12","177.71","","0.54%"
"07/23/2020","179.50","183.13","185.14","178.49","","-1.98%"
"07/22/2020","183.13","181.60","183.61","179.80","","-0.05%"
"07/21/2020","183.21","178.19","185.79","178.19","","2.44%"
"07/20/2020","178.84","178.10","179.24","174.69","","0.42%"
"07/17/2020","178.10","178.88","179.41","175.69","","-0.44%"
"07/16/2020","178.88","180.94","180.94","178.32","","-1.14%"
"07/15/2020","180.94","178.62","181.15","176.26","","2.10%"
"07/14/2020","177.22","176.25","178.25","171.87","","0.55%"
"07/13/2020","176.25","177.40","178.84","174.34","","-1.09%"
"07/10/2020","178.19","174.11","179.02","169.43","","2.34%"
"07/09/2020","174.11","179.67","179.88","172.56","","-3.09%"
"07/08/2020","179.67","177.38","180.42","177.08","","0.69%"
"07/07/2020","178.44","178.48","179.85","175.32","","-0.02%"
"07/06/2020","178.48","178.57","180.46","176.42","","-0.05%"
"07/02/2020","178.57","174.92","178.92","173.43","","2.08%"
"07/01/2020","174.92","174.30","178.26","171.67","","1.40%"
"06/30/2020","172.50","174.39","176.02","170.66","","-1.08%"
"06/29/2020","174.39","169.08","175.14","164.86","","3.15%"
"06/26/2020","169.07","170.09","172.81","166.04","","-0.59%"
"06/25/2020","170.08","166.17","171.53","162.92","","1.87%"
"06/24/2020","166.96","175.53","178.03","164.07","","-5.85%"
"06/23/2020","177.33","180.58","182.82","174.70","","-0.88%"
"06/22/2020","178.91","174.96","179.09","173.02","","2.26%"
"06/19/2020","174.96","172.45","178.29","169.38","","2.00%"
"06/18/2020","171.53","166.78","171.75","164.28","","2.20%"
"06/17/2020","167.84","166.78","171.26","164.63","","-1.14%"
"06/16/2020","169.77","165.73","172.89","161.12","","3.26%"
"06/15/2020","164.41","158.04","164.72","152.24","","2.52%"
"06/12/2020","160.37","160.63","163.44","152.68","","-0.16%"
"06/11/2020","160.63","174.73","174.73","156.76","","-8.07%"
"06/10/2020","174.73","172.00","175.96","166.82","","1.58%"
"06/09/2020","172.00","169.98","172.31","163.97","","1.90%"
"06/08/2020","168.80","174.81","178.63","168.05","","-3.44%"
"06/05/2020","174.81","165.68","175.21","164.05","","5.52%"
"06/04/2020","165.68","165.10","166.47","161.24","","0.35%"
"06/03/2020","165.10","162.78","168.57","159.17","","1.43%"
"06/02/2020","162.77","157.29","163.13","156.58","","3.55%"
"06/01/2020","157.20","157.42","158.07","152.19","","-0.14%"
"05/29/2020","157.41","149.60","158.29","143.89","","5.23%"
"05/28/2020","149.60","145.95","151.79","138.92","","2.50%"
"05/27/2020","145.95","152.71","152.71","143.62","","-4.43%"
"05/26/2020","152.71","147.79","154.38","147.79","","3.33%"
"05/22/2020","147.79","150.82","151.39","137.56","","-2.01%"
"05/21/2020","150.82","149.07","153.85","148.36","","1.18%"
"05/20/2020","149.06","142.61","149.99","141.16","","4.53%"
"05/19/2020","142.61","141.73","146.60","139.40","","0.62%"
"05/18/2020","141.73","132.29","147.04","132.29","","7.14%"
"05/15/2020","132.29","125.87","133.12","124.07","","5.09%"
"05/14/2020","125.87","119.11","127.28","116.82","","6.94%"
"05/13/2020","117.70","120.51","122.60","115.86","","-2.33%"
"05/12/2020","120.51","116.48","122.89","116.48","","3.46%"
"05/11/2020","116.48","121.78","123.62","115.43","","-4.34%"
"05/08/2020","121.77","116.86","122.16","115.12","","5.50%"
"05/07/2020","115.42","117.56","129.14","114.96","","-3.08%"
"05/06/2020","119.10","127.09","129.83","114.17","","-3.28%"
"05/05/2020","123.14","109.33","123.79","109.06","","16.29%"
"05/04/2020","105.89","99.39","106.27","96.88","","2.20%"
"05/01/2020","103.61","105.19","107.94","97.01","","2.01%"
"04/30/2020","101.57","88.88","103.47","88.88","","14.28%"
"04/29/2020","88.88","82.23","94.41","81.86","","8.64%"
"04/28/2020","81.81","85.26","90.56","66.90","","-3.44%"
"04/27/2020","84.73","112.31","112.31","79.03","","-24.56%"
"04/24/2020","112.31","111.51","119.00","103.69","","2.67%"
"04/23/2020","109.39","91.36","120.86","88.57","","19.74%"
"04/22/2020","91.36","88.71","107.27","68.15","","19.10%"
"04/21/2020","76.71","143.47","149.63","45.15","","-43.37%"
"04/20/2020","135.44","162.96","163.16","134.25","","-18.38%"
"04/17/2020","165.94","169.25","177.47","162.95","","-1.96%"
"04/16/2020","169.25","172.63","178.99","165.34","","-1.96%"
"04/15/2020","172.63","181.65","186.55","171.37","","-4.96%"
"04/14/2020","181.64","195.87","199.72","180.72","","-6.98%"
"04/13/2020","195.28","194.31","207.37","191.47","","0.47%"
"04/09/2020","194.37","214.42","233.33","193.39","","-7.14%"
"04/08/2020","209.32","204.26","217.73","199.11","","5.94%"
"04/07/2020","197.58","223.34","227.77","197.17","","-9.39%"
"04/06/2020","218.07","236.97","236.97","216.15","","-7.97%"
"04/03/2020","236.96","211.71","238.64","196.75","","11.93%"
"04/02/2020","211.71","169.82","227.35","169.82","","24.67%"
"04/01/2020","169.82","168.90","176.26","166.73","","-0.83%"
"03/31/2020","171.24","170.82","182.70","167.73","","1.94%"
"03/30/2020","167.98","169.65","174.42","161.12","","-6.60%"
"03/27/2020","179.85","188.97","195.49","174.75","","-4.82%"
"03/26/2020","188.97","203.93","206.11","187.21","","-7.72%"
"03/25/2020","204.77","208.53","210.79","192.06","","2.00%"
"03/24/2020","200.76","201.76","210.37","193.15","","2.78%"
"03/23/2020","195.32","179.27","197.50","174.34","","3.23%"
"03/20/2020","189.21","214.05","238.13","187.38","","-12.66%"
"03/19/2020","216.64","174.16","217.47","174.16","","24.39%"
"03/18/2020","174.16","228.26","230.60","171.82","","-23.78%"
"03/17/2020","228.51","245.56","255.68","228.09","","-5.76%"
"03/16/2020","242.47","255.68","266.38","238.45","","-9.68%"
"03/13/2020","268.46","267.37","286.52","259.68","","0.41%"
"03/12/2020","267.37","284.01","284.01","254.98","","-4.27%"
"03/11/2020","279.31","290.71","306.44","275.95","","-3.92%"
"03/10/2020","290.70","266.38","292.74","266.38","","10.37%"
"03/09/2020","263.39","348.89","348.89","231.80","","-24.50%"
"03/06/2020","348.86","390.69","391.96","347.51","","-10.06%"
"03/05/2020","387.89","400.14","402.00","387.63","","-1.88%"
"03/04/2020","395.31","397.34","409.00","394.21","","-0.85%"
"03/03/2020","398.68","404.93","411.10","392.85","","0.92%"
"03/02/2020","395.03","376.78","399.09","375.51","","4.46%"
"02/28/2020","378.17","395.41","396.50","370.57","","-4.94%"
"02/27/2020","397.84","408.99","410.17","387.70","","-3.36%"
"02/26/2020","411.68","421.56","426.04","408.13","","-2.34%"
"02/25/2020","421.54","434.38","439.37","421.12","","-2.97%"
