Exchange Date,Close,Net,%Chg,Open,Low,High,
03-Mar-2023,"2,594.04",+27.34,+1.07%,"2,557.69","2,557.69","2,598.57",
02-Mar-2023,"2,566.70",+28.68,+1.13%,"2,555.17","2,538.99","2,570.78",
01-Mar-2023,"2,538.02",-28.71,-1.12%,"2,543.27","2,531.56","2,552.76",
28-Feb-2023,"2,566.73",+0.86,+0.03%,"2,574.16","2,564.15","2,578.59",
27-Feb-2023,"2,565.87",-0.90,-0.04%,"2,552.11","2,550.76","2,583.58",
24-Feb-2023,"2,566.77",-16.90,-0.65%,"2,595.76","2,554.51","2,598.45",
23-Feb-2023,"2,583.68",+7.61,+0.30%,"2,576.15","2,562.77","2,594.33",
22-Feb-2023,"2,576.07",+1.97,+0.08%,"2,581.47","2,568.27","2,587.76",
21-Feb-2023,"2,574.09",-31.46,-1.21%,"2,613.32","2,570.70","2,613.90",
20-Feb-2023,"2,605.55",+6.08,+0.23%,"2,603.85","2,602.88","2,607.50",
17-Feb-2023,"2,599.47",-16.41,-0.63%,"2,609.43","2,584.48","2,609.43",
16-Feb-2023,"2,615.88",-18.09,-0.69%,"2,641.94","2,612.75","2,647.89",
15-Feb-2023,"2,633.97",+14.01,+0.53%,"2,631.89","2,612.26","2,635.53",
14-Feb-2023,"2,619.96",-1.36,-0.05%,"2,618.64","2,600.74","2,635.98",
13-Feb-2023,"2,621.32",+13.43,+0.52%,"2,595.93","2,592.49","2,623.25",
10-Feb-2023,"2,607.88",+8.64,+0.33%,"2,610.86","2,594.04","2,612.89",
09-Feb-2023,"2,599.24",-17.20,-0.66%,"2,608.84","2,591.02","2,636.10",
08-Feb-2023,"2,616.44",-13.86,-0.53%,"2,636.48","2,613.28","2,643.13",
07-Feb-2023,"2,630.30",+26.76,+1.03%,"2,606.43","2,596.31","2,638.27",
06-Feb-2023,"2,603.54",-9.95,-0.38%,"2,624.13","2,594.44","2,625.97",
03-Feb-2023,"2,613.49",+3.21,+0.12%,"2,635.83","2,604.80","2,639.09",
02-Feb-2023,"2,610.28",+53.24,+2.08%,"2,579.63","2,579.36","2,616.02",
01-Feb-2023,"2,557.05",-6.94,-0.27%,"2,535.03","2,518.32","2,574.29",
31-Jan-2023,"2,563.98",+19.42,+0.76%,"2,538.88","2,530.38","2,565.02",
30-Jan-2023,"2,544.56",-19.02,-0.74%,"2,570.71","2,541.69","2,571.19",
27-Jan-2023,"2,563.59",+12.73,+0.50%,"2,558.76","2,552.19","2,575.36",
26-Jan-2023,"2,550.86",+25.22,+1.00%,"2,534.17","2,529.73","2,553.52",
25-Jan-2023,"2,525.63",-6.27,-0.25%,"2,525.30","2,493.23","2,528.65",
24-Jan-2023,"2,531.90",-3.02,-0.12%,"2,531.32","2,516.19","2,537.59",
23-Jan-2023,"2,534.92",+24.20,+0.96%,"2,509.92","2,509.58","2,543.05",
20-Jan-2023,"2,510.72",+30.50,+1.23%,"2,475.75","2,474.12","2,512.84",
19-Jan-2023,"2,480.22",-34.18,-1.36%,"2,502.83","2,474.56","2,503.28",
18-Jan-2023,"2,514.39",-22.19,-0.87%,"2,534.98","2,509.78","2,555.15",
17-Jan-2023,"2,536.58",+7.09,+0.28%,"2,535.84","2,532.09","2,548.01",
16-Jan-2023,"2,529.49",+2.97,+0.12%,"2,529.42","2,525.72","2,532.48",
13-Jan-2023,"2,526.52",+18.60,+0.74%,"2,514.98","2,500.36","2,528.57",
12-Jan-2023,"2,507.92",-3.23,-0.13%,"2,490.92","2,480.71","2,517.88",
11-Jan-2023,"2,511.16",+22.61,+0.91%,"2,484.24","2,484.16","2,511.82",
10-Jan-2023,"2,488.54",+6.10,+0.25%,"2,480.08","2,468.87","2,489.06",
09-Jan-2023,"2,482.45",-7.00,-0.28%,"2,474.35","2,473.51","2,508.99",
06-Jan-2023,"2,489.45",+23.02,+0.93%,"2,438.84","2,436.39","2,496.85",
05-Jan-2023,"2,466.43",-9.61,-0.39%,"2,494.56","2,464.54","2,497.02",
04-Jan-2023,"2,476.05",+9.79,+0.40%,"2,453.00","2,451.46","2,485.73",
03-Jan-2023,"2,466.26",+20.90,+0.85%,"2,473.69","2,452.35","2,496.86",
02-Jan-2023,"2,445.37",+13.41,+0.55%,"2,442.81","2,442.81","2,447.04",
30-Dec-2022,"2,431.95",-18.08,-0.74%,"2,441.92","2,417.70","2,442.57",
29-Dec-2022,"2,450.04",+22.49,+0.93%,"2,414.89","2,411.50","2,454.91",
28-Dec-2022,"2,427.55",-17.41,-0.71%,"2,451.33","2,426.02","2,462.62",
27-Dec-2022,"2,444.96",-4.95,-0.20%,"2,451.79","2,436.91","2,454.70",
26-Dec-2022,"2,449.91",-4.57,-0.19%,"2,450.09","2,449.65","2,450.98",
23-Dec-2022,"2,454.48",+4.51,+0.18%,"2,443.45","2,430.97","2,454.78",
22-Dec-2022,"2,449.97",-27.56,-1.11%,"2,478.97","2,422.81","2,486.35",
21-Dec-2022,"2,477.53",+36.27,+1.49%,"2,445.37","2,443.02","2,482.35",
20-Dec-2022,"2,441.26",+2.89,+0.12%,"2,436.40","2,426.72","2,449.68",
19-Dec-2022,"2,438.36",-24.31,-0.99%,"2,457.53","2,432.03","2,461.88",
16-Dec-2022,"2,462.68",-18.89,-0.76%,"2,490.35","2,452.17","2,491.68",
15-Dec-2022,"2,481.57",-51.01,-2.01%,"2,546.30","2,471.36","2,546.50",
14-Dec-2022,"2,532.58",-21.97,-0.86%,"2,540.95","2,516.95","2,559.17",
13-Dec-2022,"2,554.54",+7.25,+0.28%,"2,525.31","2,525.29","2,597.51",
12-Dec-2022,"2,547.29",+18.45,+0.73%,"2,526.97","2,522.07","2,548.00",
09-Dec-2022,"2,528.84",-0.79,-0.03%,"2,536.29","2,527.48","2,549.96",
08-Dec-2022,"2,529.63",+2.88,+0.11%,"2,514.56","2,511.13","2,536.00",
07-Dec-2022,"2,526.75",-16.06,-0.63%,"2,531.69","2,522.17","2,540.07",
06-Dec-2022,"2,542.81",-27.30,-1.06%,"2,572.31","2,529.94","2,574.32",
05-Dec-2022,"2,570.11",-23.40,-0.90%,"2,609.64","2,559.99","2,612.97",
02-Dec-2022,"2,593.51",-11.59,-0.44%,"2,602.77","2,572.55","2,603.67",
01-Dec-2022,"2,605.10",-9.90,-0.38%,"2,594.63","2,591.77","2,618.13",
30-Nov-2022,"2,614.99",+36.06,+1.40%,"2,557.51","2,551.14","2,623.49",
29-Nov-2022,"2,578.93",-2.52,-0.10%,"2,580.02","2,568.81","2,590.85",
28-Nov-2022,"2,581.45",-19.48,-0.75%,"2,613.87","2,573.88","2,614.93",
